camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,plantID
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,4556.0,9892.0,0.46057420137484834,859.1975845098495,115,137,870,24,True,131.40809631347656,105.9266586303711,179.48031616210938,0.5917939352414207,raspiL_cameraA.2023.05.19-12.00.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,46113.0,83986.0,0.5490557950134546,3610.0117202997208,362,333,2593,31,True,314.64453125,272.3470764160156,50.55645751953125,0.500786803383026,raspiL_cameraA.2023.05.26-18.00.01_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,40186.0,63979.5,0.6281074406645879,2964.6770524978638,282,299,2055,36,True,261.87255859375,241.4755096435547,23.655517578125,0.38692597062644074,raspiL_cameraA.2023.05.26-18.30.01_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,4382.0,10930.0,0.4009149130832571,1100.5711464881897,96,163,1140,24,True,146.77745056152344,83.3495101928711,169.12062072753906,0.8231229592097662,raspiL_cameraA.2023.05.18-20.00.01_14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,30345.0,51683.0,0.5871369696031578,2516.075393676758,230,292,1974,27,True,259.578125,195.2542724609375,7.770699501037598,0.6589365968002642,raspiL_cameraA.2023.05.25-20.30.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,6156.0,15188.5,0.4053066464759522,1439.6601250171661,134,178,1302,17,True,161.6444549560547,108.38800048828125,6.425029754638672,0.7418793736089729,raspiL_cameraA.2023.05.19-17.30.01_14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,16943.0,44811.0,0.3780991274463859,2285.651999592781,225,280,2029,22,True,219.5165252685547,173.06924438476562,28.578079223632812,0.6151488328801642,raspiL_cameraA.2023.05.22-19.30.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,24349.0,47624.5,0.5112704595323836,2591.691758751869,260,276,1813,28,True,237.27854919433594,212.963134765625,159.6154022216797,0.4409661062395789,raspiL_cameraA.2023.05.23-11.00.01_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,73178.0,113632.0,0.6439911292593635,5618.013187766075,381,381,3037,32,True,346.284423828125,320.414794921875,127.0600814819336,0.37925133263632976,raspiL_cameraA.2023.05.30-16.30.02_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,7230.0,15992.0,0.4521010505252626,1419.580887913704,179,128,1194,24,True,162.01283264160156,107.244873046875,83.30310821533203,0.7495453872568459,raspiL_cameraA.2023.05.20-09.00.01_3
