camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,plantID
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,2269.0,6073.5,0.3735901868774183,712.3980842828751,107,84,742,20,True,96.19156646728516,80.10021209716797,53.258888244628906,0.5537010307644842,raspiM_cameraB.2023.05.18-18.00.01_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,9899.0,17870.5,0.5539296606138608,1317.0829315185547,154,171,1220,27,True,155.09487915039062,121.50381469726562,160.71205139160156,0.6214976443392165,raspiM_cameraB.2023.05.26-12.30.01_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,1929.0,4060.0,0.4751231527093596,534.1068502664566,80,74,646,19,True,82.68193817138672,54.12773132324219,130.24395751953125,0.7559321196990504,raspiM_cameraB.2023.05.18-19.00.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,1983.0,9098.0,0.21795999120685866,830.2767742872238,80,201,1433,15,True,141.91055297851562,83.21226501464844,172.58367919921875,0.8100424585409999,raspiM_cameraB.2023.05.18-18.30.02_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,10351.0,15138.5,0.6837533441226014,1238.4081876277924,167,125,1161,25,True,147.58413696289062,108.92985534667969,89.49614715576172,0.674706125749579,raspiM_cameraB.2023.05.24-20.00.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,19325.0,40451.5,0.47773259335253326,2376.048458814621,291,241,1923,25,True,247.4936065673828,186.51785278320312,104.63072204589844,0.6573023768576781,raspiM_cameraB.2023.05.29-11.00.01_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,9043.0,23427.5,0.38599935972681676,1872.5815114974976,189,192,1379,25,True,172.31802368164062,143.09927368164062,37.04427719116211,0.5571124505258804,raspiM_cameraB.2023.05.24-11.30.01_13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,18911.0,38532.0,0.4907868784387003,1885.437030673027,255,205,1814,31,True,226.86651611328125,198.88424682617188,74.42147827148438,0.48111487160246463,raspiM_cameraB.2023.05.30-16.00.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,33131.0,75909.5,0.4364539352781931,3096.2231900691986,360,341,2514,35,True,328.10888671875,276.09796142578125,99.85798645019531,0.5402840148379177,raspiM_cameraB.2023.05.31-14.00.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,11186.0,25215.5,0.44361602982292636,2097.596421122551,205,193,1343,29,True,170.68084716796875,160.7674102783203,42.145851135253906,0.3358421514001459,raspiM_cameraB.2023.05.23-14.30.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,7725.0,24971.5,0.30935266203471956,1809.353998541832,228,195,1658,16,True,182.42446899414062,125.04791259765625,48.13631820678711,0.7280935852863009,raspiM_cameraB.2023.05.29-13.00.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,2723.0,5404.0,0.5038860103626943,671.808273434639,90,82,732,22,True,93.59832763671875,64.81059265136719,126.46077728271484,0.7214819590319835,raspiM_cameraB.2023.05.19-13.30.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,8816.0,19932.0,0.44230383303230986,1411.684320807457,158,192,1325,28,True,170.542236328125,132.46978759765625,177.36521911621094,0.6298010534984083,raspiM_cameraB.2023.05.22-15.30.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,5130.0,24387.5,0.21035366478728856,1584.3718503713608,199,182,1464,16,True,170.30758666992188,118.85945129394531,53.12541961669922,0.7161849954436488,raspiM_cameraB.2023.05.26-09.30.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,19360.0,41138.5,0.47060539397401463,2589.988900065422,262,248,1839,28,True,254.83740234375,174.72434997558594,45.34510803222656,0.7279495345230124,raspiM_cameraB.2023.05.24-15.30.02_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,37532.0,75994.0,0.4938810958759902,4258.530693292618,322,322,2510,30,True,312.73553466796875,250.1102752685547,55.52590560913086,0.6003330549053548,raspiM_cameraB.2023.05.31-16.00.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,4030.0,8424.0,0.4783950617283951,887.1961554288864,123,102,853,24,True,118.46756744384766,82.05504608154297,72.63484191894531,0.7212861340928407,raspiM_cameraB.2023.05.20-13.30.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,12615.0,26549.0,0.47515913970394363,1835.8981453180313,212,184,1540,25,True,206.15086364746094,159.63519287109375,61.914154052734375,0.6327440335815459,raspiM_cameraB.2023.05.31-11.00.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,43254.0,82596.0,0.523681534214732,4005.7370215654373,347,341,2416,25,True,302.3333435058594,266.1924133300781,126.76384735107422,0.4741204506831059,raspiM_cameraB.2023.05.31-16.30.01_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,14930.0,25268.5,0.5908542256168747,1909.1378480196,190,193,1483,29,True,174.988525390625,145.52914428710938,138.696533203125,0.5553007067701375,raspiM_cameraB.2023.05.25-18.00.01_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,6042.0,12913.0,0.46790056532176877,1285.6495422124863,133,164,1145,25,True,136.23509216308594,108.30873107910156,3.6367785930633545,0.6065917977492925,raspiM_cameraB.2023.05.23-12.30.02_12
