camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,plantID
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,44991,78632.5,0.572167997,2919.164486,332,348,2413,33,TRUE,352.5129089,280.8945313,35.99058914,0.60419732,raspiR_cameraA.2023.05.27-21.00.02_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,98161,246413.5,0.398358856,7363.591682,777,415,5615,37,TRUE,636.055603,401.8249207,107.4739685,0.775176307,raspiR_cameraA.2023.05.25-18.00.01_13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,15818,35767.5,0.442245055,1790.639148,228,257,1744,31,TRUE,219.7049255,181.1633301,25.49813652,0.565751721,raspiR_cameraA.2023.05.21-16.00.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,5664,19657.5,0.2881343,1287.391246,185,191,1466,15,TRUE,200.1674805,108.2067795,119.0230179,0.841291835,raspiR_cameraA.2023.05.19-10.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,3679,6739,0.545926695,587.5706295,90,119,857,24,TRUE,102.4654694,74.72255707,153.5628662,0.684251371,raspiR_cameraA.2023.05.18-15.00.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,48874,87496.5,0.558582343,3459.104871,338,363,2547,32,TRUE,343.124939,266.1073303,36.23733139,0.63129766,raspiR_cameraA.2023.05.28-13.00.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,185480,360078,0.515110615,8408.691093,906,461,6261,26,TRUE,807.3656616,437.7018433,95.21747589,0.840290875,raspiR_cameraA.2023.05.29-14.30.01_13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,10915,19084,0.571945085,1302.231339,170,158,1342,30,TRUE,175.8164368,126.0105438,135.140213,0.697364637,raspiR_cameraA.2023.05.23-19.00.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,136732,301611,0.453338903,7597.882279,845,428,6108,35,TRUE,724.223877,405.6582642,91.86280823,0.828405894,raspiR_cameraA.2023.05.28-15.00.01_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,99832,151742,0.657906183,4426.248573,441,434,3560,40,TRUE,421.8000793,382.3509216,139.619812,0.422261041,raspiR_cameraA.2023.05.29-15.30.01_12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,66393,100677.5,0.659462144,3995.90801,343,337,2671,32,TRUE,325.9119873,314.2344971,144.6833344,0.265285861,raspiR_cameraA.2023.05.28-11.30.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,5905,11355.5,0.520012329,1049.263704,157,122,1030,31,TRUE,138.2668457,100.4591599,67.21146393,0.687103021,raspiR_cameraA.2023.05.19-16.30.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,59840,102981.5,0.581075242,3165.234197,402,347,2877,29,TRUE,397.3140564,285.6203308,59.50790405,0.69513627,raspiR_cameraA.2023.05.29-12.30.01_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,66548,127810,0.520679133,4615.987691,434,373,3551,25,TRUE,441.3381042,305.8583984,119.2810669,0.720913424,raspiR_cameraA.2023.05.29-11.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,22317,42035,0.530914714,2189.399066,216,271,1975,32,TRUE,241.3794861,183.2822266,178.519043,0.650727287,raspiR_cameraA.2023.05.22-18.00.01_13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,27906,66998.5,0.416516788,2796.481525,284,342,2264,19,TRUE,271.3952026,226.9661102,118.0129776,0.548281655,raspiR_cameraA.2023.05.24-11.30.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,8058,16790,0.479928529,1159.270034,146,141,1182,27,TRUE,146.0335541,133.9961243,122.838974,0.39757243,raspiR_cameraA.2023.05.23-16.30.01_14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,80032,208504.5,0.383838239,6461.656526,712,382,5077,31,TRUE,585.1402588,371.3089294,106.1027603,0.772870338,raspiR_cameraA.2023.05.24-09.30.01_13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,199907,371763,0.537726993,8936.380377,537,873,5804,30,TRUE,784.0645142,443.3219299,177.4009857,0.824806489,raspiR_cameraA.2023.05.31-18.30.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,17055,33340.5,0.511540019,1459.248904,214,255,1603,28,TRUE,247.3768921,177.3011627,32.29684067,0.697356084,raspiR_cameraA.2023.05.24-14.00.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,10370,25393,0.408380262,1882.278726,189,193,1680,27,TRUE,211.910614,133.289978,134.9469757,0.777412165,raspiR_cameraA.2023.05.18-19.30.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,30438,68348,0.445338561,2858.365521,324,342,2481,27,TRUE,292.2423096,253.6799622,47.4768219,0.496482616,raspiR_cameraA.2023.05.24-16.00.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,17903,33043,0.541809158,2088.226717,228,216,1537,25,TRUE,215.315155,161.0260315,132.6269379,0.663854175,raspiR_cameraA.2023.05.23-12.00.01_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,47976,93308.5,0.514165376,3180.135638,364,337,2793,31,TRUE,358.8783569,271.7601318,129.5306091,0.65312676,raspiR_cameraA.2023.05.28-16.30.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,2383,5649.5,0.42180724,719.9443095,77,111,779,22,TRUE,101.677124,62.576931,24.84218216,0.788177889,raspiR_cameraA.2023.05.19-13.00.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,18103,38853.5,0.46592971,1954.248162,233,249,1915,29,TRUE,255.2963867,170.7884216,136.0290375,0.743279541,raspiR_cameraA.2023.05.26-10.00.01_14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,4258,7980,0.53358396,735.3903482,95,111,798,24,TRUE,100.6657944,89.56196594,43.13096619,0.456553203,raspiR_cameraA.2023.05.20-20.30.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,6597,12685,0.520063067,946.4129186,146,146,961,25,TRUE,121.3122253,120.4774628,58.60792542,0.117110491,raspiR_cameraA.2023.05.19-17.00.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,107682,237395,0.453598433,7423.465241,796,392,5569,33,TRUE,646.9680786,344.8594971,90.18005371,0.846090399,raspiR_cameraA.2023.05.26-17.00.02_9
