camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,plantID
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,31423,54509.5,0.576468322,2455.273357,327,286,2338,32,TRUE,322.800293,199.9142761,130.1063995,0.785144542,raspiR_cameraB.2023.05.30-11.30.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,29077,52121,0.557874945,2647.484149,285,271,1886,23,TRUE,289.1906433,215.2491455,145.2176514,0.66782789,raspiR_cameraB.2023.05.28-09.30.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,33847,57139,0.592362484,2743.340544,333,291,2382,32,TRUE,319.096283,203.3186493,131.5269623,0.770723108,raspiR_cameraB.2023.05.31-13.30.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,108972,281036,0.387751035,6762.808762,811,420,5374,31,TRUE,671.7748413,453.1385193,82.14089203,0.738238956,raspiR_cameraB.2023.05.27-20.30.01_13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,103362,168294.5,0.614173369,4290.710634,451,399,3772,28,TRUE,468.0087891,406.5785828,85.76906586,0.495266073,raspiR_cameraB.2023.05.31-12.00.02_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,25787,46786,0.551169153,2392.293042,263,266,1999,28,TRUE,282.8152161,195.9789276,151.7287292,0.720978426,raspiR_cameraB.2023.05.27-10.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,2735,5537.5,0.493905192,611.6704686,102,79,734,22,TRUE,90.18898773,72.91444397,94.5103302,0.588547243,raspiR_cameraB.2023.05.18-09.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,39841,70451,0.565513619,2717.331875,329,306,2264,33,TRUE,300.5668335,253.4025726,45.3469696,0.537784587,raspiR_cameraB.2023.05.26-12.00.01_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,11569,26417,0.437937692,1509.528931,217,213,1450,23,TRUE,175.9050293,174.6946259,14.74209404,0.117109617,raspiR_cameraB.2023.05.20-21.00.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,3386,5072.5,0.667520946,450.8599526,90,91,576,23,TRUE,77.99360657,77.11008453,93.04644012,0.15009311,raspiR_cameraB.2023.05.22-20.30.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,38558,73087.5,0.527559432,2742.597377,314,298,2347,29,TRUE,292.3108826,258.73172,88.84476471,0.465353018,raspiR_cameraB.2023.05.25-13.30.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,3998,9521,0.419913875,975.7341272,110,147,1007,21,TRUE,125.1078873,89.53611755,179.1355286,0.698437304,raspiR_cameraB.2023.05.18-19.00.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,27028,45477,0.594322405,2021.441287,262,269,1794,30,TRUE,239.7566223,199.3094788,140.1525726,0.555825248,raspiR_cameraB.2023.05.25-19.30.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,8402,23861,0.352122711,1587.538522,185,298,2041,19,TRUE,242.7654572,108.9623642,149.0822449,0.893613139,raspiR_cameraB.2023.05.19-19.00.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,11748,22128,0.530911063,1561.806588,157,193,1386,29,TRUE,175.5824585,135.6837463,12.50711727,0.634693862,raspiR_cameraB.2023.05.23-12.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,6375,13655,0.466861955,1188.778491,136,169,1145,24,TRUE,158.6393127,106.2650223,26.52564049,0.742493728,raspiR_cameraB.2023.05.19-12.30.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,57611,100981.5,0.57051044,2694.314043,363,347,2889,25,TRUE,352.5595093,327.1752319,93.30536652,0.372580141,raspiR_cameraB.2023.05.26-21.00.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,14151,29859,0.473927459,1696.130958,181,211,1567,22,TRUE,200.1032562,152.6279144,0.352953464,0.646698441,raspiR_cameraB.2023.05.24-12.30.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,12390,27617.5,0.448628587,1995.742508,212,221,1459,24,TRUE,180.9474792,169.3927612,19.41205215,0.351618851,raspiR_cameraB.2023.05.20-10.00.02_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,55760,109003,0.511545554,3818.313983,338,410,2988,22,TRUE,384.0705566,317.1946106,17.75377464,0.563851952,raspiR_cameraB.2023.05.28-11.00.01_12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,5078,13556.5,0.37458046,1133.637959,149,143,1063,24,TRUE,155.1359558,121.9970856,15.96237946,0.617732623,raspiR_cameraB.2023.05.18-13.30.01_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,64349,108980,0.590466141,4130.367988,367,397,2729,28,TRUE,370.7824707,306.6048279,19.70731354,0.562329946,raspiR_cameraB.2023.05.28-18.30.01_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,33004,55751,0.591989381,2560.334324,252,312,2207,32,TRUE,266.6392822,221.9324341,174.1788483,0.554277253,raspiR_cameraB.2023.05.24-19.30.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,10592,28028.5,0.377901065,1982.286415,190,268,1841,22,TRUE,184.6577148,149.2669067,15.63830948,0.588710801,raspiR_cameraB.2023.05.21-15.30.02_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,17559,32823.5,0.534952092,1980.834388,219,229,1651,31,TRUE,244.378952,153.2957153,136.5012512,0.778788254,raspiR_cameraB.2023.05.28-14.00.02_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,44148,79141.5,0.557836281,3363.231729,346,350,2443,27,TRUE,312.7098694,259.8111267,118.8744812,0.556514899,raspiR_cameraB.2023.05.25-09.30.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,29812,55189.5,0.540175214,2630.579806,289,293,2001,25,TRUE,288.1693726,234.6477356,147.3388672,0.580486024,raspiR_cameraB.2023.05.28-12.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,58853,100388,0.586255329,4237.121201,393,332,2687,31,TRUE,358.8386841,293.9604492,92.34542084,0.573508742,raspiR_cameraB.2023.05.27-15.30.01_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,TRUE,20313,48636,0.41765359,2103.185318,255,335,2332,20,TRUE,232.265213,217.2936554,117.5365601,0.353217822,raspiR_cameraB.2023.05.22-14.00.01_3
