camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,plantID
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,18064.0,39217.0,0.46061656934492695,2575.587748527527,268,238,1770,29,True,207.83106994628906,181.54791259765625,39.191375732421875,0.4867596241252367,raspiS_cameraB.2023.05.26-19.30.01_13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,8057.0,15414.5,0.5226896753057186,1296.136903166771,135,170,1104,27,True,157.48367309570312,119.88288116455078,16.33705711364746,0.6484701744146124,raspiS_cameraB.2023.05.22-13.00.02_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,24944.0,44131.0,0.5652262581858557,2696.5019742250443,253,246,1837,28,True,237.04335021972656,191.98492431640625,128.23094177246094,0.5865475008376765,raspiS_cameraB.2023.05.26-09.30.01_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,8753.0,21793.0,0.4016427293167531,1790.5280787944794,254,155,1735,18,True,197.07632446289062,107.90325164794922,63.59743881225586,0.8367925218968516,raspiS_cameraB.2023.05.22-12.30.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,35389.0,66065.0,0.535669416483766,3466.827799320221,328,312,2435,22,True,281.9545593261719,239.10633850097656,166.91464233398438,0.5299458759244607,raspiS_cameraB.2023.05.27-09.00.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,15722.0,35984.0,0.4369164072921298,2080.854974269867,204,241,1692,23,True,188.22283935546875,171.6851043701172,131.09986877441406,0.40988441900651784,raspiS_cameraB.2023.05.23-13.00.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,12611.0,24630.5,0.5120074704126997,1577.7599791288376,178,183,1398,27,True,180.54690551757812,157.1163330078125,171.16079711914062,0.4926554501883351,raspiS_cameraB.2023.05.22-17.00.01_14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,31341.0,49114.0,0.6381276214521318,2677.122904896736,268,264,1874,29,True,224.81051635742188,218.07081604003906,105.67450714111328,0.2430229886008299,raspiS_cameraB.2023.05.29-17.00.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,37554.0,60444.5,0.6212972230724053,3277.73233962059,303,308,2062,30,True,255.66754150390625,251.98634338378906,162.99891662597656,0.16908413399922767,raspiS_cameraB.2023.05.31-18.30.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,19287.0,39625.0,0.4867381703470032,2602.9476687908173,235,249,1764,24,True,254.21163940429688,180.40869140625,15.991908073425293,0.7045250549134388,raspiS_cameraB.2023.05.24-15.30.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,33235.0,56714.5,0.5860053425490835,3350.038326740265,273,321,2033,32,True,270.88201904296875,214.8419647216797,155.38075256347656,0.6090653179200997,raspiS_cameraB.2023.05.27-15.30.01_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,57975.0,97571.5,0.5941796528699467,4608.974353194237,381,364,2577,31,True,318.827880859375,295.1611328125,51.17384719848633,0.37808835481468495,raspiS_cameraB.2023.05.30-16.00.01_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,19597.0,37845.5,0.5178158565747579,2353.854970216751,232,236,1582,31,True,213.6178741455078,187.63365173339844,142.31410217285156,0.47799749664186497,raspiS_cameraB.2023.05.24-19.30.01_12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,6842.0,14981.5,0.456696592464039,1269.0378408432007,171,135,1212,27,True,152.74114990234375,113.28396606445312,124.00724792480469,0.670761778233424,raspiS_cameraB.2023.05.22-09.00.01_13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,4200.0,8565.0,0.4903677758318739,872.1660753488541,95,141,935,22,True,127.78353881835938,84.56945037841797,0.20227202773094177,0.7496645186301414,raspiS_cameraB.2023.05.18-15.30.01_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,36319.0,68354.5,0.5313329773460416,3427.2485946416855,300,315,2166,27,True,285.1602478027344,242.4978790283203,171.36610412597656,0.5261502910566113,raspiS_cameraB.2023.05.27-13.30.01_8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,42809.0,71821.0,0.5960512941897217,3712.9649950265884,355,283,2332,29,True,296.1773376464844,235.22496032714844,88.23812103271484,0.6076523945752351,raspiS_cameraB.2023.05.27-21.00.01_2
