camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,plantID
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,18933.0,34419.5,0.5500660962535772,1429.6336804628372,202,200,1607,27,True,204.522216796875,185.65675354003906,76.4024658203125,0.4194934410626151,raspiV_cameraA.2023.05.23-20.00.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,10392.0,40243.0,0.2582312451854981,1926.3884122371674,266,228,1962,18,True,212.3486785888672,139.05294799804688,49.72115707397461,0.7557734999898662,raspiV_cameraA.2023.05.24-18.00.01_12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,6999.0,14567.0,0.4804695544724377,1045.1702238321304,143,157,1089,23,True,147.1045379638672,131.48855590820312,41.3265266418457,0.44837744048632705,raspiV_cameraA.2023.05.23-18.30.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,14540.0,33017.0,0.44037919859466335,1912.6172626018524,221,210,1524,23,True,193.15087890625,170.8750457763672,151.75985717773438,0.4662152186998313,raspiV_cameraA.2023.05.22-20.00.01_7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,78916.0,127033.0,0.621224406256642,4728.6988607645035,434,409,2944,35,True,405.029296875,338.1706237792969,122.09459686279297,0.5503579772821028,raspiV_cameraA.2023.05.30-11.00.01_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,5740.0,38942.5,0.1473968029787507,1618.8881878852844,224,266,2137,14,True,192.9677276611328,157.85104370117188,163.8988037109375,0.5751928494290718,raspiV_cameraA.2023.05.19-16.00.01_11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,13891.0,27690.0,0.5016612495485735,1634.7795428037643,180,186,1402,25,True,176.95274353027344,170.6198272705078,97.50196075439453,0.26513515771623897,raspiV_cameraA.2023.05.22-10.30.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,6451.0,14344.5,0.4497194046498658,1391.0599781274796,117,198,1304,24,True,175.350830078125,95.8642578125,174.45106506347656,0.8373287082147713,raspiV_cameraA.2023.05.20-17.00.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,34986.0,58151.0,0.6016405564822617,3477.643903851509,313,274,1974,34,True,265.1533203125,223.546142578125,106.4716796875,0.537784139918319,raspiV_cameraA.2023.05.27-18.30.01_14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,5878.0,31499.0,0.18660909870154607,1746.9303151369095,200,297,2104,19,True,205.658935546875,161.26312255859375,24.001720428466797,0.6205979453931785,raspiV_cameraA.2023.05.19-20.00.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,3114.0,7507.0,0.4148128413480751,793.1344168186188,90,122,730,19,True,121.50301361083984,84.77082061767578,157.88641357421875,0.716404738336142,raspiV_cameraA.2023.05.19-19.30.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,79884.0,120734.0,0.6616528898239105,3767.667214989662,427,410,3045,34,True,399.2000427246094,345.35528564453125,94.23252868652344,0.5015677680219448,raspiV_cameraA.2023.05.30-14.00.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,28076.0,53052.5,0.5292116299891617,2645.5857659578323,254,333,1816,31,True,307.0161437988281,231.15757751464844,18.78864860534668,0.6581158439476463,raspiV_cameraA.2023.05.31-14.00.01_12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,8081.0,17210.5,0.4695389442491502,1194.693209528923,154,184,1295,27,True,177.5772247314453,136.2032012939453,25.716045379638672,0.6416372043390913,raspiV_cameraA.2023.05.24-13.00.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,2843.0,12414.0,0.22901562751731916,1075.9726773500443,118,217,1586,17,True,206.87094116210938,104.15667724609375,36.183013916015625,0.8640032304370371,raspiV_cameraA.2023.05.20-10.30.01_12
