area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi
45655,424848,0.107461963,21603.41936,752,812,5470,12,599.4800415,485.3670349,87.67634583,0.586917565,2021.10.11-15.00.09_RaspiY_side1_cameraA
2291,547630,0.004183482,5204.387382,953,776,6641,8,1862.154297,969.6699219,12.47161293,0.853724595,2021.10.11-16.27.01_RaspiY_side1_cameraA
95,45063,0.00210816,1268.592066,172,515,2681,11,740.1828613,70.35661316,0,0.995472212,2021.10.11-15.32.57_RaspiY_side1_cameraA
93557,594578,0.157350255,26105.57123,934,844,7304,16,818.1713257,499.5714722,80.02290344,0.791942877,2021.10.11-15.29.52_RaspiY_side1_cameraA
164558,705753,0.233166561,20707.05418,1274,801,8399,14,1104.920654,446.2157898,103.6231384,0.91482778,2021.10.11-14.33.35_RaspiY_side4_cameraA
66414,559112.5,0.118784681,9568.846454,945,814,6974,13,877.4485474,415.8640442,116.1435547,0.88055341,2021.10.11-14.49.27_RaspiY_side2_cameraA
136,4177.5,0.032555356,1208.124514,28,538,3266,10,511.2183533,13.42586994,177.5999756,0.999655081,2021.10.11-16.10.55_RaspiY_side5_cameraA
93023,618790.5,0.150330362,13302.35646,881,1292,8218,13,4380.220703,1185.011719,35.28865814,0.962709581,2021.10.11-16.17.36_RaspiY_side2_cameraA
38437,518200,0.074174064,15494.46732,963,853,6731,11,944.2625122,702.3837891,80.5752182,0.668353531,2021.10.11-15.44.53_RaspiY_side6_cameraA
21732,647953,0.03353947,13843.00464,956,818,7482,11,652.1802368,540.079834,79.0051651,0.560559158,2021.10.11-15.37.05_RaspiY_side6_cameraA
73297,653853.5,0.112100035,17184.71293,903,1257,8975,18,925.8452759,541.2000732,119.7919922,0.811359853,2021.10.11-14.30.31_RaspiY_side3_cameraA
30638,357995.5,0.085582081,7825.370087,744,854,6371,12,706.0817871,425.0470581,129.7271576,0.798511224,2021.10.11-16.07.55_RaspiY_side4_cameraA
5400,474886.5,0.011371138,4058.89924,723,961,6979,13,1079.130859,711.7834473,175.9877319,0.75162598,2021.10.11-16.28.14_RaspiY_side7_cameraA
64205,439309.5,0.14614981,14476.10116,1022,778,7035,12,613.9856567,472.6227112,93.69495392,0.638331226,2021.10.11-15.00.09_RaspiY_side7_cameraA
67436,542571,0.124289724,13455.12513,1144,837,7688,13,1648.040649,481.5639038,94.22877502,0.956356043,2021.10.11-14.56.00_RaspiY_side7_cameraA
