POT,Genotype,Condition,FW
1,CB5-2,Control,25.31
2,Sanzi,Control,15.46
3,UCR7,Control,21.9
4,IT97IC,Control,11.85
5,Suvita-2,Control,21.84
6,CB5-2,Control,37.54
7,Sanzi,Control,19.66
8,UCR7,Control,18.54
9,IT97IC,Control,18.36
10,Suvita-2,Control,18.58
11,CB5-2,Control,22.49
12,Sanzi,Control,10.69
13,UCR7,Control,17.13
14,IT97IC,Control,13.52
15,Suvita-2,Control,12.31
16,CB5-2,Control,8.2
17,Sanzi,Control,14.66
18,UCR7,Control,22.01
19,IT97IC,Control,13.02
20,Suvita-2,Control,21.8
21,CB5-2,Control,24.05
22,Sanzi,Control,19.09
23,UCR7,Control,18.4
24,IT97IC,Control,12.38
25,Suvita-2,Control,14.57
26,CB5-2,Control,23.44
27,Sanzi,Control,23.89
28,UCR7,Control,20.83
29,IT97IC,Control,15.86
30,Suvita-2,Control,17.98
31,CB5-2,Control,24.19
32,Sanzi,Control,14.26
33,UCR7,Control,18.13
34,IT97IC,Control,8.88
35,Suvita-2,Control,9.25
36,CB5-2,Drought,12.79
37,Sanzi,Drought,9.28
38,UCR7,Drought,11.39
39,IT97IC,Drought,10.38
40,Suvita-2,Drought,13.83
41,CB5-2,Drought,14.52
42,Sanzi,Drought,14.28
43,UCR7,Drought,12.41
44,IT97IC,Drought,9.87
45,Suvita-2,Drought,7.22
46,CB5-2,Drought,18.01
47,Sanzi,Drought,10.95
48,UCR7,Drought,10.58
49,IT97IC,Drought,9.99
50,Suvita-2,Drought,14.27
51,CB5-2,Drought,14.74
52,Sanzi,Drought,3.45
53,UCR7,Drought,1.8
54,IT97IC,Drought,4.43
55,Suvita-2,Drought,9.31
56,CB5-2,Drought,14.91
57,Sanzi,Drought,6.13
58,UCR7,Drought,12.5
59,IT97IC,Drought,8.96
60,Suvita-2,Drought,9.81
61,CB5-2,Drought,15.97
62,Sanzi,Drought,7.09
63,UCR7,Drought,11.71
64,IT97IC,Drought,7.4
65,Suvita-2,Drought,7.64
66,CB5-2,Drought,17.69
67,Sanzi,Drought,9.54
68,UCR7,Drought,6.71
69,IT97IC,Drought,6.29
70,Suvita-2,Drought,7.37
71,CB5-2,Salt,17.31
72,Sanzi,Salt,13.44
73,UCR7,Salt,16.42
74,IT97IC,Salt,8.62
75,Suvita-2,Salt,14.78
76,CB5-2,Salt,22.66
77,Sanzi,Salt,8.63
78,UCR7,Salt,9.76
79,IT97IC,Salt,11.34
80,Suvita-2,Salt,13.24
81,CB5-2,Salt,9.01
82,Sanzi,Salt,
83,UCR7,Salt,10.19
84,IT97IC,Salt,
85,Suvita-2,Salt,7.77
86,CB5-2,Salt,25.71
87,Sanzi,Salt,18.91
88,UCR7,Salt,14.34
89,IT97IC,Salt,15.09
90,Suvita-2,Salt,18.8
91,CB5-2,Salt,25.39
92,Sanzi,Salt,18.86
93,UCR7,Salt,15.27
94,IT97IC,Salt,15.96
95,Suvita-2,Salt,19.95
96,CB5-2,Salt,22.41
97,Sanzi,Salt,2.17
98,UCR7,Salt,2.58
99,IT97IC,Salt,11.18
100,Suvita-2,Salt,16.29
101,CB5-2,Salt,19.55
102,Sanzi,Salt,15.94
103,UCR7,Salt,9.42
104,IT97IC,Salt,12.23
105,Suvita-2,Salt,18.27
