camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,plantID
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,18064.0,37888.5,0.4767673568497037,1850.4286103248596,251,254,1875,25,True,216.5252227783203,159.66928100585938,104.49910736083984,0.6754382605365635,raspiT_cameraB.2021.11.06-18.00.01_0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,2808.0,3822.5,0.734597776324395,318.3919162750244,91,65,621,21,True,84.11406707763672,58.422035217285156,80.87435913085938,0.7194374363318653,raspiT_cameraB.2021.10.31-21.30.02_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,4463.0,10271.5,0.4345032371123984,974.3285857439041,83,198,1336,17,True,129.2344970703125,68.2823257446289,174.00799560546875,0.8490205048996059,raspiT_cameraB.2021.11.02-11.30.01_14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,18771.0,30131.0,0.6229796555042979,1690.902405500412,199,206,1398,30,True,196.5145721435547,167.05023193359375,127.39622497558594,0.5266771985291523,raspiT_cameraB.2021.11.07-11.00.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,2307.0,3505.5,0.6581086863500214,361.11983811855316,61,75,583,21,True,70.86089324951172,61.605499267578125,150.3359375,0.4941328050049912,raspiT_cameraB.2021.10.30-17.30.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,7192.0,21381.5,0.3363655496574141,1160.499579668045,245,110,1640,19,True,267.7188720703125,88.11135864257812,84.27521514892578,0.9442884652005,raspiT_cameraB.2021.11.03-08.30.01_2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,21892.0,39487.0,0.5544103122546661,1746.607758283615,205,249,1860,26,True,231.70938110351562,191.7281036376953,135.72860717773438,0.5615382789656076,raspiT_cameraB.2021.11.09-19.30.01_12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,2199.0,3391.0,0.6484812739604836,347.11983811855316,60,74,520,18,True,70.79398345947266,60.135154724121094,145.4309844970703,0.5276871840781909,raspiT_cameraB.2021.10.30-15.00.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,27799.0,41379.0,0.6718142052732062,1906.5158376693726,277,235,1785,28,True,242.14076232910156,219.14376831054688,119.10846710205078,0.42535552283209754,raspiT_cameraB.2021.11.10-21.30.02_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,6758.0,16417.0,0.4116464640311872,1350.548971414566,257,203,2032,18,True,318.56781005859375,75.22496795654297,124.26368713378906,0.9717202909524956,raspiT_cameraB.2021.11.04-09.00.01_14
