camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,plantID
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,1241.0,14118.5,0.08789885611077664,1039.436938881874,107,202,1402,10,True,167.79962158203125,135.9527130126953,141.73143005371094,0.5861415058297306,raspiU_cameraB.2021.10.29-13.00.01_12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,13538.0,21686.0,0.6242737249838606,1506.9667291641235,185,177,1266,25,True,171.11375427246094,141.09141540527344,119.11088562011719,0.5657927607797848,raspiU_cameraB.2021.11.06-20.30.01_5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,93.0,28317.0,0.003284246212522513,1012.5609316825867,202,208,1417,11,True,203.8408966064453,184.43780517578125,39.999393463134766,0.4258100707016094,raspiU_cameraB.2021.11.08-17.00.01_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,15795.0,30672.0,0.5149647887323944,2609.387395262718,191,214,1537,19,True,199.25177001953125,153.95115661621094,2.8453307151794434,0.6348366628663018,raspiU_cameraB.2021.11.09-21.00.02_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,8260.0,30385.0,0.27184466019417475,2849.9157474040985,220,199,1502,15,True,168.84481811523438,129.98004150390625,101.59562683105469,0.6382615953208464,raspiU_cameraB.2021.11.05-09.30.01_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,6431.0,23717.0,0.2711557110933086,1566.1180791854858,191,195,1331,17,True,172.00341796875,139.9774169921875,146.8700408935547,0.5811366120967006,raspiU_cameraB.2021.11.03-17.00.01_10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,23342.0,49006.5,0.4763041637333823,3270.515523314476,230,306,2077,26,True,247.07516479492188,190.2261505126953,5.165755748748779,0.6381499910486699,raspiU_cameraB.2021.11.09-15.00.01_13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,31.0,2596.5,0.011939148854226844,246.90595769882202,66,80,527,8,True,213.1863250732422,71.76641845703125,96.9561767578125,0.9416344765667246,raspiU_cameraB.2021.11.01-12.30.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,5.0,759.0,0.006587615283267457,178.71957623958588,25,79,453,3,True,84.3539047241211,40.52970886230469,171.29608154296875,0.877009939787829,raspiU_cameraB.2021.11.10-11.00.01_3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,17804.0,49496.0,0.35970583481493457,3638.4060668945312,308,248,2299,23,True,284.2912902832031,161.53140258789062,124.5067367553711,0.8228975551495801,raspiU_cameraB.2021.11.06-18.00.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,994.0,9742.0,0.102032436871279,891.6981471776962,160,124,896,6,True,404.53118896484375,75.92807006835938,103.48455047607422,0.9822275544796976,raspiU_cameraB.2021.10.29-20.00.01_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,10550.0,23483.0,0.4492611676531959,1587.8154236078262,178,172,1474,19,True,160.30567932128906,124.955078125,157.808349609375,0.6264270584084438,raspiU_cameraB.2021.11.11-18.00.01_6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,11386.0,35453.5,0.32115305964150226,1790.1985224485397,190,233,1708,18,True,186.20343017578125,146.33816528320312,34.662437438964844,0.6183475409250985,raspiU_cameraB.2021.11.04-17.00.01_13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,7578.0,28113.5,0.2695502160883561,2520.714326262474,225,177,1565,19,True,175.83551025390625,125.27937316894531,57.786197662353516,0.7016919051704489,raspiU_cameraB.2021.11.04-08.00.02_12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,22049.0,49063.0,0.4494017895359028,2948.9527012109756,237,287,2113,21,True,236.14874267578125,190.86012268066406,3.7754933834075928,0.5888807419877656,raspiU_cameraB.2021.11.08-18.00.01_13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,507.0,14090.0,0.03598296664300923,801.8985378742218,148,155,1163,13,True,300.5780029296875,179.15769958496094,61.42851638793945,0.8029518116964722,raspiU_cameraB.2021.10.30-12.00.01_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,1717.0,17993.5,0.0954233473198655,1078.706215620041,175,155,1334,7,True,196.83287048339844,121.21001434326172,72.81517791748047,0.787901185598526,raspiU_cameraB.2021.10.31-19.30.01_4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,6995.0,33826.0,0.206793590729025,1654.8786787986755,248,235,1915,15,True,235.64932250976562,142.53732299804688,129.88206481933594,0.7963238543246582,raspiU_cameraB.2021.11.03-10.00.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,1843.0,20689.5,0.08907900142584403,1175.2259434461594,166,202,1681,13,True,209.31796264648438,129.49069213867188,147.53526306152344,0.7856812497741104,raspiU_cameraB.2021.11.08-15.30.02_14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,11823.0,40195.0,0.29414106232118425,2149.3345177173615,274,224,2045,19,True,219.8369140625,145.74188232421875,123.419921875,0.7486596458382392,raspiU_cameraB.2021.11.05-15.00.02_9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,72.0,7418.0,0.009706120248045295,584.5537105798721,147,92,990,10,True,343.0107116699219,134.52896118164062,0.0,0.919879771471459,raspiU_cameraB.2021.11.05-08.30.01_15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,True,160.0,15700.0,0.01019108280254777,1085.86267888546,152,172,1254,9,True,205.77381896972656,105.92839813232422,156.2202911376953,0.8573218725047166,raspiU_cameraB.2021.11.05-17.30.02_14
